Dex #,Name,Gen
Dex #,Name,8
810,GrookeyS,8
818,Inteleon,8
826,Orbeetle,8
834,Drednaw,8
842,Appletun,8
850,Sizzlipede,8
858,Hatterene,8
866,Mr. Rime,8
874,Stonjourner,8
882,DracovishF,8
890,EternatusL,8
898,CalyrexL,8
Dex #,Name,8
811,Thwackey,8
819,Skwovet,8
827,Nickit,8
835,Yamper,8
843,Silicobra,8
851,Centiskorch,8
859,Impidimp,8
867,Runerigus,8
875,Eiscue,8
883,ArctovishF,8
891,KubfuL,8
899,Wyrdeer,8
Dex #,Name,8
812,Rillaboom,8
820,Greedent,8
828,Thievul,8
836,Boltund,8
844,Sandaconda,8
852,Clobbopus,8
860,Morgrem,8
868,Milcery,8
876,Indeedee,8
884,Duraludon,8
892,UrshifuL,8
900,Kleavor,8
Dex #,Name,8
813,ScorbunnyS,8
821,Rookidee,8
829,Gossifleur,8
837,Rolycoly,8
845,Cramorant,8
853,Grapploct,8
861,Grimmsnarl,8
869,Alcremie,8
877,Morpeko,8
885,Dreepy,8
893,ZarudeM,8
901,Ursaluna,8
Dex #,Name,8
814,Raboot,8
822,Corvisquire,8
830,Eldegoss,8
838,Carkol,8
846,Arrokuda,8
854,Sinistea,8
862,Obstagoon,8
870,Falinks,8
878,Cufant,8
886,Drakloak,8
894,RegielekiL,8
902,Basculegion,8
Dex #,Name,8
815,Cinderace,8
823,Corviknight,8
831,Wooloo,8
839,Coalossal,8
847,Barraskewda,8
855,Polteageist,8
863,Perrserker,8
871,Pincurchin,8
879,Copperajah,8
887,Dragapult,8
895,RegidragoL,8
903,Sneasler,8
Dex #,Name,8
816,SobbleS,8
824,Blipbug,8
832,Dubwool,8
840,Applin,8
848,ToxelB,8
856,Hatenna,8
864,Cursola,8
872,Snom,8
880,DracozoltF,8
888,ZacianL,8
896,GlastrierL,8
904,Overqwil,8
Dex #,Name,8
817,Drizzile,8
825,Dottler,8
833,Chewtle,8
841,Flapple,8
849,Toxtricity,8
857,Hattrem,8
865,Sirfetch'd,8
873,Frosmoth,8
881,ArctozoltF,8
889,ZamazentaL,8
897,SpectrierL,8
905,EnamorusL,8
